lemma,inflection_type,inflected_form,stem,reduplicated_form,subject,object,mood,number,diminutive,locative
gagiipizi,1s - ind,nigagiipiz,/gagiipizi-/,,first_person_singular,,independent,,FALSE,FALSE
gagiipizi,3s - ind,gagiipizi,/gagiipizi-/,,third_person_singular,,independent,,FALSE,FALSE
gagiipizi,3s - conj,gagiipizid,/gagiipizi-/,,third_person_singular,,conjunct,,FALSE,FALSE
gagiipizi,3s - ch-conj,gegiipizid,/gagiipizi-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
inaadiziwin,sg,inaadiziwin,/inaadiziwin-/,,,,,singular,FALSE,FALSE
akakanzhe,sg,akakanzhe,/akakanzhew-/,,,,,singular,FALSE,FALSE
akakanzhe,loc,akakanzheng,/akakanzhew-/,,,,,,FALSE,TRUE
mawinazh,1s - 3s - ind,nimawinanaa,/mawinaN-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
mawinazh,3s - 3' - conj,mawinanaad,/mawinaN-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
mawinazh,3s - 3' - ind,omawinanaan,/mawinaN-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
mawinazh,3s - 3' - ch-conj,mewinanaad,/mawinaN-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
mawinazh,2s - 3 - imp,mawinazh,/mawinaN-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
inagindan,1s - 0s - ind,indinagindaan,/inagind-/,,first_person_singular,singular_inanimate,independent,,FALSE,FALSE
inagindan,1s - 0s - ind,nindinagindaan,/inagind-/,,first_person_singular,singular_inanimate,independent,,FALSE,FALSE
inagindan,1s - 0s - ind,nidinagindaan,/inagind-/,,first_person_singular,singular_inanimate,independent,,FALSE,FALSE
inagindan,3s - 0s - ind,odinangindaan,/inagind-/,,third_person_singular,singular_inanimate,independent,,FALSE,FALSE
inagindan,3s - 0 - conj,inagindang,/inagind-/,,third_person_singular,inanimate_number_not_shown,conjunct,,FALSE,FALSE
inagindan,3s - 0 - ch-conj,enagindang,/inagind-/,,third_person_singular,inanimate_number_not_shown,changed_conjunct,,FALSE,FALSE
inagindan,2s - 0 - imp,inagindan,/inagind-/,,second_person_singular,inanimate_number_not_shown,imperative,,FALSE,FALSE
babaaminizhikaw,1s - 3s - ind,nibabaaminizhikawaa,/babaaminizhikaw-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
babaaminizhikaw,3s - 3' - ind,obabaaminizhikawaan,/babaaminizhikaw-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
babaaminizhikaw,3s - 3' - conj,babaaminizhikawaad,/babaaminizhikaw-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
babaaminizhikaw,3s - 3' - ch-conj,bebaaminizhikawaad,/babaaminizhikaw-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
babaaminizhikaw,2s - 3 - imp,babaaminizhikaw,/babaaminizhikaw-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
bimiwizhiwewinini,sg,bimiwizhiwewinini,/bimiwizhiwewininiw-/,,,,,singular,FALSE,FALSE
bimiwizhiwewinini,pl,bimiwizhiwewininiwag,/bimiwizhiwewininiw-/,,,,,plural,FALSE,FALSE
wendad,0s - ind,wendad,/wendad-/,wewendad,singular_inanimate,,independent,,FALSE,FALSE
wendad,0s - conj,wendak,/wendad-/,wewendad,singular_inanimate,,conjunct,,FALSE,FALSE
wendad,0s - ch-conj,wayendak,/wendad-/,wewendad,singular_inanimate,,changed_conjunct,,FALSE,FALSE
wayezhim,1s - 3s - ind,niwayezhimaa,/wayezhim-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
wayezhim,3s - 3' - ind,owayezhimaan,/wayezhim-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
wayezhim,3s - 3' - conj,wayezhimaad,/wayezhim-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
wayezhim,3s - 3' - ch-conj,weyezhimaad,/wayezhim-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
wayezhim,2s - 3 - imp,wayezhim,/wayezhim-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
